test_case_id,scanner,operating_point,run,finding_summary,classification,ground_truth,match,category,max_severity
asi03_dns_rebinding,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI03,SAFE
asi03_dns_rebinding,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI03,SAFE
asi03_dns_rebinding,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI03,SAFE
asi03_dns_rebinding,medusa,OP1_any,1,MCPServerScanner:MEDIUM:Database URL with credentials,TP,vulnerable,True,ASI03,MEDIUM
asi03_dns_rebinding,medusa,OP2_medium,1,MCPServerScanner:MEDIUM:Database URL with credentials,TP,vulnerable,True,ASI03,MEDIUM
asi03_dns_rebinding,medusa,OP3_high,1,MCPServerScanner:MEDIUM:Database URL with credentials,FN,vulnerable,False,ASI03,MEDIUM
asi03_dns_rebinding,medusa,OP4_critical,1,MCPServerScanner:MEDIUM:Database URL with credentials,FN,vulnerable,False,ASI03,MEDIUM
asi03_dns_rebinding,sigil,OP1_score_gt13,1,"score=17,bandit=0",TP,vulnerable,True,ASI03,score=17
asi03_dns_rebinding,sigil,OP2_score_gt19,1,"score=17,bandit=0",FN,vulnerable,False,ASI03,score=17
cve_2025_53107,cisco,OP1_static_all,1,yara_analyzer:HIGH,TP,vulnerable,True,ASI05,HIGH
cve_2025_53107,cisco,OP2_stdio_all,1,yara_analyzer:HIGH,TP,vulnerable,True,ASI05,HIGH
cve_2025_53107,cisco,OP3_static_high,1,yara_analyzer:HIGH,TP,vulnerable,True,ASI05,HIGH
cve_2025_53107,medusa,OP1_any,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,CRITICAL
cve_2025_53107,medusa,OP2_medium,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,CRITICAL
cve_2025_53107,medusa,OP3_high,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,CRITICAL
cve_2025_53107,medusa,OP4_critical,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:MCP git tool without path validation,TP,vulnerable,True,ASI05,CRITICAL
cve_2025_53107,sigil,OP1_score_gt13,1,"score=22,bandit=3",TP,vulnerable,True,ASI05,score=22
cve_2025_53107,sigil,OP2_score_gt19,1,"score=22,bandit=3",TP,vulnerable,True,ASI05,score=22
cve_2025_53818,cisco,OP1_static_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2025_53818,cisco,OP2_stdio_all,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2025_53818,cisco,OP3_static_high,1,none,FN,vulnerable,False,ASI05,SAFE
cve_2025_53818,medusa,OP1_any,1,MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:CRITICAL:Shell=True with potential user input; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti; MCPServerScanner:MEDIUM:subprocess with shell=True enables command injecti,TP,vulnerable,True,ASI05,CRITICAL
