scanner,operating_point,category,TP,FP,TN,FN,TPR,FPR,Youden,TPR_CI_lo,TPR_CI_hi,FPR_CI_lo,FPR_CI_hi,CI_width_TPR
cisco,OP1_static_all,ALL,2,0,12,23,0.08,0.0,0.08,0.0098,0.2603,0.0,0.2646,0.2505
cisco,OP1_static_all,ASI01,0,0,0,3,0.0,0.0,0.0,0.0,0.7076,0.0,1.0,0.7076
cisco,OP1_static_all,ASI02,1,0,0,2,0.3333,0.0,0.3333,0.0084,0.9057,0.0,1.0,0.8973
cisco,OP1_static_all,ASI03,0,0,0,3,0.0,0.0,0.0,0.0,0.7076,0.0,1.0,0.7076
cisco,OP1_static_all,ASI04,0,0,0,6,0.0,0.0,0.0,0.0,0.4593,0.0,1.0,0.4593
cisco,OP1_static_all,ASI05,1,0,0,9,0.1,0.0,0.1,0.0025,0.445,0.0,1.0,0.4425
cisco,OP1_static_all,N/A,0,0,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.2646,1.0
cisco,OP2_stdio_all,ALL,2,0,12,23,0.08,0.0,0.08,0.0098,0.2603,0.0,0.2646,0.2505
cisco,OP2_stdio_all,ASI01,0,0,0,3,0.0,0.0,0.0,0.0,0.7076,0.0,1.0,0.7076
cisco,OP2_stdio_all,ASI02,1,0,0,2,0.3333,0.0,0.3333,0.0084,0.9057,0.0,1.0,0.8973
cisco,OP2_stdio_all,ASI03,0,0,0,3,0.0,0.0,0.0,0.0,0.7076,0.0,1.0,0.7076
cisco,OP2_stdio_all,ASI04,0,0,0,6,0.0,0.0,0.0,0.0,0.4593,0.0,1.0,0.4593
cisco,OP2_stdio_all,ASI05,1,0,0,9,0.1,0.0,0.1,0.0025,0.445,0.0,1.0,0.4425
cisco,OP2_stdio_all,N/A,0,0,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.2646,1.0
cisco,OP3_static_high,ALL,2,0,12,23,0.08,0.0,0.08,0.0098,0.2603,0.0,0.2646,0.2505
cisco,OP3_static_high,ASI01,0,0,0,3,0.0,0.0,0.0,0.0,0.7076,0.0,1.0,0.7076
cisco,OP3_static_high,ASI02,1,0,0,2,0.3333,0.0,0.3333,0.0084,0.9057,0.0,1.0,0.8973
cisco,OP3_static_high,ASI03,0,0,0,3,0.0,0.0,0.0,0.0,0.7076,0.0,1.0,0.7076
cisco,OP3_static_high,ASI04,0,0,0,6,0.0,0.0,0.0,0.0,0.4593,0.0,1.0,0.4593
cisco,OP3_static_high,ASI05,1,0,0,9,0.1,0.0,0.1,0.0025,0.445,0.0,1.0,0.4425
cisco,OP3_static_high,N/A,0,0,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.2646,1.0
medusa,OP1_any,ALL,24,12,0,1,0.96,1.0,-0.04,0.7965,0.999,0.7354,1.0,0.2025
medusa,OP1_any,ASI01,3,0,0,0,1.0,0.0,1.0,0.2924,1.0,0.0,1.0,0.7076
medusa,OP1_any,ASI02,2,0,0,1,0.6667,0.0,0.6667,0.0943,0.9916,0.0,1.0,0.8973
medusa,OP1_any,ASI03,3,0,0,0,1.0,0.0,1.0,0.2924,1.0,0.0,1.0,0.7076
medusa,OP1_any,ASI04,6,0,0,0,1.0,0.0,1.0,0.5407,1.0,0.0,1.0,0.4593
medusa,OP1_any,ASI05,10,0,0,0,1.0,0.0,1.0,0.6915,1.0,0.0,1.0,0.3085
medusa,OP1_any,N/A,0,12,0,0,0.0,1.0,-1.0,0.0,1.0,0.7354,1.0,1.0
medusa,OP2_medium,ALL,24,12,0,1,0.96,1.0,-0.04,0.7965,0.999,0.7354,1.0,0.2025
medusa,OP2_medium,ASI01,3,0,0,0,1.0,0.0,1.0,0.2924,1.0,0.0,1.0,0.7076
medusa,OP2_medium,ASI02,2,0,0,1,0.6667,0.0,0.6667,0.0943,0.9916,0.0,1.0,0.8973
medusa,OP2_medium,ASI03,3,0,0,0,1.0,0.0,1.0,0.2924,1.0,0.0,1.0,0.7076
medusa,OP2_medium,ASI04,6,0,0,0,1.0,0.0,1.0,0.5407,1.0,0.0,1.0,0.4593
medusa,OP2_medium,ASI05,10,0,0,0,1.0,0.0,1.0,0.6915,1.0,0.0,1.0,0.3085
